School Name,Pincode,District
CRESCENT U.P. SCHOOL,515865,Anantpur
S L N VIDYAMANDIR,515865,Anantpur
SRI SABARI VIDYANIKETAN,515865,Anantpur
SRI SAI E M UP SCHOOL,515865,Anantpur
SRI SARASWATHI VIDYA MANDIR UP SCHOOL,515865,Anantpur
ST PAULS E M HS,515865,Anantpur
SREE VINAYA SREE VIDYANIKETAN,515865,Anantpur
VIDYARTHI ENG. MED. HIGH,515865,Anantpur
INFANT JESUS E.M.SCH,515865,Anantpur
VANI EM UP SCHOOL,515865,Anantpur
ST PAULS E M UP SCHOOL,515865,Anantpur
CRESECNT E M HS,515865,Anantpur
SRI VENKATESWARA JUNIOR COLLEGE,515865,Anantpur
VIDYARANYA JR COLLEGE RAYADURG,515865,Anantpur
AVR EM SCHOOL RAYADURG,515865,Anantpur
ST.THOMAS EM SCHOOL,515865,Anantpur
AVR EM HIGH SCHOOL RAYADURG,515865,Anantpur
ST.THOMAS ENGLISH MEDIUM HIGH SCHOOL,515865,Anantpur
BHAVANA EM SCHOOL,515865,Anantpur
SRI VANI EM HIGH SCHOOL,515865,Anantpur
THE WISDOM E.M SCHOOL,515865,Anantpur
RANGANATHA EM PRIMARY SCHOOL,515863,Anantpur
GNANA VIKAS SCHOOL,515767,Anantpur
SREE VIDHYANIKETHAN UPS,515765,Anantpur
SRI SAI RAGHAVENDRA U.P.,515766,Anantpur
SHIVA SAI E. M SCHOOL BESTHARAPALLI,515766,Anantpur
SREE RADHA SWAMY VIDYALAYAM UP SCHOOL,515766,Anantpur
SREEDEVI E.M AND T.M HIGH SCHOOL,515761,Anantpur
SRI SAI KRISHNA JUNIOR COLLEGE,515761,Anantpur
JNANA BHARTI SCHOOL,515761,Anantpur
SRI VIVEKANANDA U.P. SCHO,515761,Anantpur
VIGNAN JYOTHI EM SCHOOL,515761,Anantpur
J.B. HS,515761,Anantpur
V.J.E.M.H.SCHOOL,515761,Anantpur
SREE VANI UPS KLD,515761,Anantpur
SRI VIVEKANANDA HIGH SCHOOL,515761,Anantpur
BRAINY STARS INTERNATIONAL SCHOOL,515761,Anantpur
JNANA BHARATHI JR. COLLEGE,515761,Anantpur
SREE LAKSHMI VENKATESWARA VIDYALAYAM,515761,Anantpur
EMMANUEL EM UP SCHOOL,515787,Anantpur
SRI SARASWATHI VIDYA MAND,515761,Anantpur
LITTLE ROSES ENG.MEDIUM U,515761,Anantpur
GOLDEN BELLS UP. SCHOOL,515761,Anantpur
SRI SIVA SAI ENGLISH MEDI,515761,Anantpur
GOLDEN BELLS EM SCHOOL,515761,Anantpur
SRI CHAITANYA EM AND TM SCHOOL,515761,Anantpur
S.R.B.V EMTM SCHOOL,515761,Anantpur
EMMANUEL MISSION SCHOOL,515761,Anantpur
KIRAN EM SCHOOL,515761,Anantpur
SRI CHAITANYA EM AND TM SCHOOL,515761,Anantpur
VIVEKANANDA JR.COLLEGE KALYANDURG,515761,Anantpur
JYOTHIRMAYEE JR COLLEGE FOR GIRLS KALYANDURG,515761,Anantpur
S.R.B.V.EM TM HIGH SCHOOLKALYANADURG,515761,Anantpur
SRI LAKSHMI VENKATESWARA VIDYALAYAM,515761,Anantpur
SRI CHAITANYA EM SCHOOL,515761,Anantpur
SRI SAI VIDYA VIHAR UPS,515751,Anantpur
ST JOHNS EM S ODDUPALLI,515751,Anantpur
ST JOHNS EMS ODDUPALLI,515751,Anantpur
LITTLE ANGLES SCHOOL,515751,Anantpur
SRI VANI VIDYALAYAM,515751,Anantpur
GOLDEN BELLS E/M SCHOOL,515751,Anantpur
HOLY SPIRIT SCHOOL,515751,Anantpur
GOLDEN BELLS EMHS ATMAKUR,515751,Anantpur
HOLY SPIRIT SCHOOLATMAKUR,515751,Anantpur
"DELHI PUBLIC SCHOOL ,AKKAMPALLI VILLAGE",515004,Anantpur
NARAYANA JR COLLEGE,515001,Anantpur
SARDAR VALLABA BAI,515004,Anantpur
JAWAHAR BHARATHI HS,515001,Anantpur
